iter	Passed	Remaining
1676	15493	2984
1677	15503	2975
1678	15512	2965
1679	15521	2956
1680	15532	2947
1681	15541	2938
1682	15550	2929
1683	15562	2920
1684	15572	2911
1685	15581	2901
1686	15591	2892
1687	15600	2883
1688	15611	2874
1689	15620	2865
1690	15630	2856
1691	15639	2846
1692	15649	2837
1693	15660	2828
1694	15669	2819
1695	15679	2810
1696	15689	2801
1697	15698	2792
1698	15708	2782
1699	15718	2773
1700	15727	2764
1701	15736	2755
1702	15745	2746
1703	15755	2736
1704	15763	2727
1705	15773	2718
1706	15782	2709
1707	15793	2700
1708	15802	2690
1709	15814	2681
1710	15822	2672
1711	15831	2663
1712	15841	2654
1713	15850	2644
1714	15858	2635
1715	15866	2625
1716	15875	2616
1717	15884	2607
1718	15893	2598
1719	15903	2588
1720	15912	2579
1721	15923	2570
1722	15933	2561
1723	15943	2552
1724	15953	2543
1725	15963	2534
1726	15973	2525
1727	15982	2515
1728	15991	2506
1729	16000	2497
1730	16009	2487
1731	16018	2478
1732	16028	2469
1733	16038	2460
1734	16047	2451
1735	16056	2441
1736	16065	2432
1737	16075	2423
1738	16085	2414
1739	16095	2405
1740	16105	2395
1741	16115	2386
1742	16126	2377
1743	16136	2368
1744	16146	2359
1745	16158	2350
1746	16168	2341
1747	16177	2332
1748	16186	2322
1749	16194	2313
1750	16205	2304
1751	16213	2295
1752	16223	2285
1753	16233	2276
1754	16242	2267
1755	16252	2258
1756	16262	2249
1757	16272	2239
1758	16281	2230
1759	16289	2221
1760	16299	2212
1761	16307	2202
1762	16317	2193
1763	16327	2184
1764	16337	2175
1765	16345	2165
1766	16356	2156
1767	16366	2147
1768	16374	2138
1769	16384	2129
1770	16394	2119
1771	16402	2110
1772	16412	2101
1773	16422	2092
1774	16432	2082
1775	16440	2073
1776	16450	2064
1777	16459	2055
1778	16467	2045
1779	16476	2036
1780	16486	2027
1781	16495	2017
1782	16503	2008
1783	16513	1999
1784	16524	1990
1785	16534	1981
1786	16543	1971
1787	16553	1962
1788	16563	1953
1789	16572	1944
1790	16582	1935
1791	16590	1925
1792	16599	1916
1793	16609	1907
1794	16619	1898
1795	16628	1888
1796	16638	1879
1797	16647	1870
1798	16657	1861
1799	16667	1851
1800	16676	1842
1801	16683	1833
1802	16693	1823
1803	16702	1814
1804	16710	1805
1805	16721	1796
1806	16731	1787
1807	16741	1777
1808	16750	1768
1809	16759	1759
1810	16768	1749
1811	16778	1740
1812	16788	1731
1813	16797	1722
1814	16807	1713
1815	16816	1703
1816	16825	1694
1817	16835	1685
1818	16845	1676
1819	16855	1667
1820	16864	1657
1821	16875	1648
1822	16885	1639
1823	16894	1630
1824	16902	1620
1825	16912	1611
1826	16923	1602
1827	16932	1593
1828	16941	1583
1829	16952	1574
1830	16960	1565
1831	16970	1556
1832	16980	1547
1833	16990	1537
1834	16997	1528
1835	17007	1519
1836	17016	1509
1837	17026	1500
1838	17035	1491
1839	17045	1482
1840	17054	1472
1841	17064	1463
1842	17073	1454
1843	17085	1445
1844	17095	1436
1845	17104	1426
1846	17115	1417
1847	17124	1408
1848	17134	1399
1849	17143	1390
1850	17152	1380
1851	17161	1371
1852	17171	1362
1853	17180	1352
1854	17190	1343
1855	17200	1334
1856	17208	1325
1857	17218	1315
1858	17228	1306
1859	17238	1297
1860	17247	1288
1861	17256	1278
1862	17265	1269
1863	17276	1260
1864	17285	1251
1865	17295	1241
1866	17302	1232
1867	17315	1223
1868	17325	1214
1869	17335	1205
1870	17345	1195
1871	17354	1186
1872	17364	1177
1873	17373	1168
1874	17382	1158
1875	17392	1149
1876	17402	1140
1877	17412	1131
1878	17421	1121
1879	17429	1112
1880	17439	1103
1881	17448	1094
1882	17458	1084
1883	17468	1075
1884	17477	1066
1885	17486	1056
1886	17495	1047
1887	17504	1038
1888	17514	1029
1889	17523	1019
1890	17534	1010
1891	17543	1001
1892	17552	992
1893	17562	982
1894	17571	973
1895	17581	964
1896	17591	955
1897	17601	945
1898	17611	936
1899	17620	927
1900	17631	918
1901	17642	909
1902	17652	899
1903	17661	890
1904	17670	881
1905	17681	872
1906	17691	862
1907	17701	853
1908	17711	844
1909	17720	835
1910	17730	825
1911	17740	816
1912	17750	807
1913	17761	798
1914	17771	788
1915	17781	779
1916	17790	770
1917	17800	761
1918	17808	751
1919	17818	742
1920	17827	733
1921	17836	723
1922	17845	714
1923	17853	705
1924	17863	695
1925	17873	686
1926	17884	677
1927	17893	668
1928	17903	658
1929	17914	649
1930	17923	640
1931	17933	631
1932	17942	621
1933	17952	612
1934	17961	603
1935	17971	594
1936	17981	584
1937	17990	575
1938	17999	566
1939	18008	556
1940	18016	547
1941	18024	538
1942	18033	529
1943	18042	519
1944	18052	510
1945	18062	501
1946	18071	491
1947	18080	482
1948	18088	473
1949	18098	464
1950	18109	454
1951	18119	445
1952	18128	436
1953	18139	427
1954	18149	417
1955	18157	408
1956	18167	399
1957	18178	389
1958	18187	380
1959	18196	371
1960	18204	362
1961	18213	352
1962	18224	343
1963	18233	334
1964	18245	324
1965	18254	315
1966	18263	306
1967	18274	297
1968	18283	287
1969	18293	278
1970	18303	269
1971	18313	260
1972	18323	250
1973	18333	241
1974	18345	232
1975	18354	222
1976	18363	213
1977	18373	204
1978	18382	195
1979	18390	185
1980	18400	176
1981	18409	167
1982	18419	157
1983	18429	148
1984	18439	139
1985	18448	130
1986	18459	120
1987	18468	111
1988	18478	102
1989	18488	92
1990	18496	83
1991	18508	74
1992	18517	65
1993	18528	55
1994	18537	46
1995	18545	37
1996	18555	27
1997	18565	18
1998	18576	9
1999	18586	0
