iter	Passed	Remaining
413	3669	14057
414	3678	14047
415	3686	14038
416	3696	14034
417	3706	14026
418	3715	14019
419	3724	14012
420	3734	14005
421	3743	13998
422	3752	13990
423	3761	13982
424	3771	13977
425	3785	13987
426	3793	13976
427	3802	13966
428	3811	13959
429	3820	13949
430	3829	13939
431	3836	13925
432	3844	13913
433	3854	13909
434	3864	13903
435	3873	13893
436	3884	13893
437	3892	13882
438	3902	13875
439	3910	13865
440	3920	13859
441	3929	13850
442	3939	13844
443	3948	13836
444	3958	13831
445	3968	13826
446	3976	13815
447	3985	13805
448	3993	13796
449	4003	13788
450	4011	13778
451	4019	13766
452	4028	13757
453	4037	13748
454	4046	13740
455	4056	13733
456	4065	13725
457	4073	13715
458	4082	13706
459	4093	13703
460	4101	13693
461	4110	13685
462	4119	13675
463	4128	13666
464	4137	13658
465	4146	13650
466	4156	13642
467	4165	13635
468	4173	13625
469	4184	13621
470	4192	13610
471	4203	13608
472	4212	13597
473	4220	13587
474	4229	13578
475	4238	13570
476	4246	13559
477	4256	13552
478	4264	13542
479	4272	13530
480	4282	13522
481	4290	13513
482	4299	13504
483	4307	13493
484	4317	13486
485	4325	13473
486	4334	13466
487	4343	13458
488	4353	13452
489	4362	13442
490	4371	13434
491	4380	13425
492	4389	13417
493	4398	13409
494	4407	13401
495	4416	13391
496	4425	13383
497	4434	13375
498	4444	13367
499	4453	13359
500	4462	13351
501	4471	13344
502	4480	13334
503	4489	13326
504	4499	13319
505	4509	13314
506	4518	13304
507	4529	13303
508	4538	13295
509	4547	13285
510	4555	13275
511	4564	13265
512	4575	13261
513	4583	13252
514	4592	13242
515	4601	13232
516	4610	13225
517	4619	13217
518	4629	13209
519	4638	13203
520	4648	13195
521	4657	13188
522	4668	13183
523	4676	13172
524	4684	13161
525	4693	13153
526	4703	13146
527	4712	13138
528	4720	13126
529	4730	13120
530	4738	13110
531	4748	13101
532	4757	13093
533	4767	13088
534	4776	13079
535	4785	13070
536	4793	13060
537	4803	13053
538	4812	13045
539	4821	13035
540	4829	13024
541	4839	13017
542	4848	13009
543	4857	13000
544	4865	12990
545	4873	12978
546	4882	12968
547	4892	12962
548	4901	12954
549	4911	12948
550	4919	12938
551	4929	12930
552	4938	12922
553	4948	12915
554	4957	12907
555	4966	12897
556	4976	12893
557	4985	12884
558	4994	12875
559	5003	12867
560	5012	12857
561	5021	12848
562	5032	12843
563	5041	12835
564	5049	12823
565	5057	12813
566	5066	12805
567	5075	12795
568	5084	12788
569	5094	12781
570	5104	12774
571	5114	12768
572	5123	12758
573	5131	12748
574	5141	12741
575	5149	12731
576	5159	12724
577	5163	12702
578	5171	12691
579	5180	12683
580	5188	12673
581	5198	12665
582	5208	12659
583	5217	12649
584	5226	12641
585	5235	12633
586	5244	12623
587	5252	12612
588	5260	12602
589	5270	12595
590	5279	12586
591	5293	12589
592	5303	12583
593	5312	12574
594	5321	12566
595	5331	12559
596	5339	12549
597	5349	12541
598	5357	12531
599	5366	12522
600	5374	12511
601	5385	12506
602	5395	12499
603	5404	12491
604	5413	12482
605	5423	12474
606	5432	12466
607	5441	12458
608	5451	12450
609	5460	12442
610	5471	12437
611	5480	12429
612	5489	12421
613	5498	12411
614	5507	12403
615	5517	12396
616	5528	12391
617	5536	12381
618	5547	12375
619	5557	12370
620	5564	12357
621	5574	12349
622	5583	12341
623	5591	12331
624	5599	12319
625	5609	12311
626	5618	12303
627	5627	12293
628	5637	12288
629	5647	12280
630	5656	12272
631	5666	12264
632	5676	12257
633	5685	12249
634	5693	12238
635	5702	12229
636	5711	12220
637	5720	12212
638	5730	12204
639	5739	12196
640	5748	12188
641	5758	12180
642	5765	12168
643	5774	12159
644	5783	12150
645	5793	12142
646	5802	12133
647	5811	12125
648	5820	12116
649	5829	12108
650	5840	12102
651	5848	12091
652	5858	12084
653	5867	12076
654	5877	12069
655	5886	12059
656	5896	12052
657	5904	12042
658	5912	12031
659	5923	12025
660	5933	12018
661	5943	12012
662	5953	12005
663	5962	11997
664	5971	11988
665	5980	11979
666	5990	11972
667	5999	11963
668	6009	11955
669	6018	11946
670	6027	11938
671	6038	11932
672	6048	11926
673	6057	11917
674	6066	11909
675	6075	11899
676	6085	11891
677	6094	11883
678	6102	11872
679	6110	11861
680	6119	11853
681	6128	11843
682	6136	11831
683	6146	11825
684	6154	11815
685	6163	11805
686	6171	11795
687	6181	11787
688	6190	11778
689	6198	11767
690	6207	11759
691	6217	11753
692	6228	11746
693	6237	11737
694	6246	11729
695	6256	11722
696	6266	11714
697	6274	11704
698	6283	11695
699	6292	11686
700	6302	11678
701	6311	11669
702	6320	11660
703	6328	11649
704	6337	11640
705	6346	11631
706	6354	11621
707	6363	11611
708	6372	11604
709	6382	11596
710	6392	11589
711	6401	11581
712	6411	11572
713	6419	11563
714	6429	11555
715	6439	11547
716	6447	11537
717	6456	11527
718	6466	11520
719	6474	11510
720	6484	11502
721	6493	11493
722	6501	11483
723	6508	11471
724	6517	11461
725	6527	11454
726	6536	11446
727	6547	11439
728	6557	11432
729	6567	11425
730	6572	11409
731	6581	11400
732	6590	11391
733	6599	11381
734	6609	11374
735	6617	11364
736	6627	11356
737	6636	11349
738	6646	11341
739	6656	11333
740	6665	11325
741	6674	11316
742	6684	11308
743	6693	11299
744	6702	11290
745	6711	11282
746	6720	11272
747	6728	11262
748	6737	11253
749	6747	11246
750	6756	11236
751	6766	11229
752	6775	11219
753	6786	11214
754	6796	11208
755	6807	11201
756	6817	11193
757	6826	11184
758	6835	11175
759	6843	11165
760	6850	11154
761	6860	11146
762	6871	11140
763	6880	11130
764	6890	11123
765	6898	11113
766	6907	11104
767	6918	11097
768	6926	11088
769	6934	11076
770	6943	11068
771	6952	11059
772	6962	11051
773	6970	11041
774	6974	11024
775	6982	11014
776	6991	11005
777	7001	10996
778	7010	10988
779	7019	10979
780	7028	10970
781	7038	10962
782	7046	10951
783	7053	10940
784	7063	10932
785	7071	10922
786	7081	10914
787	7090	10905
788	7098	10895
789	7108	10887
790	7117	10878
791	7126	10869
792	7135	10860
793	7144	10851
794	7154	10843
795	7163	10835
796	7172	10826
797	7180	10815
798	7189	10806
799	7198	10798
800	7208	10790
801	7217	10781
802	7225	10770
803	7234	10761
804	7244	10753
805	7254	10746
806	7257	10729
807	7266	10720
808	7276	10711
809	7285	10703
810	7296	10696
811	7304	10687
812	7312	10677
813	7321	10667
814	7331	10659
815	7340	10650
816	7349	10641
817	7357	10632
818	7368	10624
819	7376	10614
820	7385	10605
821	7393	10596
822	7403	10588
823	7411	10577
824	7420	10568
825	7429	10559
826	7438	10550
827	7448	10542
828	7457	10534
829	7465	10523
830	7474	10514
831	7482	10504
832	7491	10494
833	7499	10485
834	7509	10477
835	7518	10468
836	7528	10460
837	7537	10452
838	7545	10441
839	7554	10432
840	7564	10424
841	7573	10415
842	7582	10406
843	7590	10396
844	7599	10387
845	7608	10379
846	7618	10370
847	7626	10361
848	7636	10353
849	7647	10346
850	7656	10337
851	7665	10328
852	7676	10321
853	7686	10314
854	7695	10306
855	7705	10298
856	7714	10289
857	7724	10280
858	7734	10273
859	7743	10264
860	7752	10256
861	7760	10245
862	7770	10237
863	7780	10229
864	7789	10220
865	7800	10213
866	7809	10205
867	7819	10197
868	7828	10188
869	7837	10180
870	7847	10172
871	7856	10163
872	7866	10155
873	7875	10146
874	7883	10135
875	7892	10127
876	7901	10117
877	7909	10107
878	7919	10099
879	7928	10090
880	7937	10082
881	7946	10072
882	7955	10064
883	7963	10053
884	7973	10046
885	7982	10036
886	7991	10027
887	7999	10017
888	8010	10010
889	8018	10000
890	8028	9992
891	8037	9984
892	8045	9973
893	8054	9963
894	8062	9954
895	8072	9946
896	8081	9937
897	8089	9927
898	8098	9918
899	8107	9909
900	8116	9900
901	8125	9890
902	8133	9881
903	8142	9871
904	8151	9862
905	8159	9852
906	8168	9843
907	8176	9833
908	8184	9823
909	8194	9815
910	8202	9805
911	8213	9798
912	8223	9790
913	8232	9781
914	8239	9770
915	8250	9763
916	8259	9754
917	8267	9744
918	8276	9735
919	8286	9727
920	8297	9720
921	8310	9717
922	8319	9707
923	8329	9699
924	8338	9690
925	8347	9681
926	8356	9673
927	8366	9665
928	8375	9655
929	8383	9645
930	8393	9637
931	8403	9630
932	8412	9620
933	8421	9611
934	8430	9602
935	8440	9594
936	8448	9584
937	8457	9576
938	8467	9567
939	8477	9559
940	8486	9550
941	8495	9541
942	8505	9533
943	8514	9525
944	8524	9516
945	8533	9507
946	8541	9497
947	8549	9487
948	8559	9480
949	8569	9471
950	8578	9462
951	8588	9454
952	8597	9445
953	8608	9438
954	8618	9431
955	8628	9422
956	8637	9413
957	8647	9405
958	8657	9397
959	8668	9390
960	8677	9382
961	8687	9373
962	8696	9364
963	8704	9354
964	8714	9346
965	8723	9337
966	8732	9328
967	8741	9319
968	8750	9310
969	8759	9301
970	8768	9292
971	8777	9282
972	8786	9274
973	8796	9265
974	8806	9258
975	8815	9249
976	8824	9240
977	8833	9231
978	8842	9221
979	8850	9211
980	8859	9202
981	8868	9193
982	8878	9185
983	8887	9176
984	8895	9166
985	8905	9158
986	8914	9149
987	8923	9140
988	8932	9131
989	8941	9121
990	8950	9112
991	8959	9103
992	8967	9094
993	8976	9084
994	8986	9076
995	8996	9068
996	9005	9059
997	9014	9050
998	9022	9040
999	9031	9031
1000	9041	9023
1001	9051	9015
1002	9059	9005
1003	9069	8996
1004	9079	8989
1005	9089	8980
1006	9099	8972
1007	9108	8963
1008	9116	8954
1009	9126	8946
1010	9135	8936
1011	9144	8927
1012	9153	8918
1013	9162	8909
1014	9172	8900
1015	9181	8892
1016	9192	8885
1017	9201	8876
1018	9211	8868
1019	9221	8859
1020	9231	8851
1021	9240	8842
1022	9252	8836
1023	9262	8828
1024	9272	8820
1025	9282	8812
1026	9293	8804
1027	9302	8795
1028	9312	8787
1029	9322	8779
1030	9332	8770
1031	9342	8763
1032	9352	8754
1033	9361	8745
1034	9371	8737
1035	9380	8728
1036	9390	8720
1037	9401	8712
1038	9411	8705
1039	9422	8697
1040	9430	8688
1041	9440	8679
1042	9450	8671
1043	9459	8662
1044	9469	8654
1045	9479	8645
1046	9489	8637
1047	9498	8628
1048	9509	8620
1049	9518	8611
1050	9528	8603
1051	9537	8594
1052	9546	8585
1053	9555	8576
1054	9564	8567
1055	9573	8557
1056	9582	8549
1057	9592	8540
1058	9603	8533
1059	9612	8524
1060	9622	8516
1061	9632	8507
1062	9640	8498
1063	9650	8489
1064	9660	8480
1065	9668	8471
1066	9678	8463
1067	9688	8455
1068	9697	8446
1069	9706	8436
1070	9715	8426
1071	9724	8418
1072	9733	8409
1073	9741	8399
1074	9750	8390
1075	9759	8381
1076	9768	8372
1077	9778	8363
1078	9786	8353
1079	9796	8345
1080	9808	8338
1081	9817	8329
1082	9825	8319
1083	9835	8311
1084	9845	8302
1085	9853	8292
1086	9862	8283
1087	9872	8275
1088	9882	8267
1089	9892	8258
1090	9903	8251
1091	9913	8242
1092	9921	8233
1093	9930	8224
1094	9940	8215
1095	9949	8206
1096	9958	8197
1097	9968	8188
1098	9978	8180
1099	9986	8170
1100	9994	8160
1101	10002	8150
1102	10013	8143
1103	10023	8134
1104	10033	8126
1105	10042	8117
1106	10052	8109
1107	10061	8100
1108	10071	8091
1109	10081	8083
1110	10089	8073
1111	10098	8064
1112	10106	8054
1113	10117	8046
1114	10126	8037
1115	10136	8028
1116	10145	8020
1117	10154	8011
1118	10164	8002
1119	10174	7994
1120	10183	7985
1121	10193	7976
1122	10202	7967
1123	10212	7959
1124	10220	7949
1125	10230	7940
1126	10239	7932
1127	10249	7923
1128	10259	7915
1129	10269	7906
1130	10276	7896
1131	10287	7887
1132	10296	7879
1133	10305	7870
1134	10314	7860
1135	10323	7851
1136	10332	7842
1137	10342	7834
1138	10351	7824
1139	10360	7815
1140	10368	7805
1141	10377	7796
1142	10386	7787
1143	10394	7777
1144	10403	7768
1145	10412	7759
1146	10421	7750
1147	10430	7741
1148	10440	7732
1149	10448	7722
1150	10458	7714
1151	10468	7705
1152	10476	7695
1153	10484	7686
1154	10494	7678
1155	10505	7670
1156	10514	7660
1157	10523	7652
1158	10531	7642
1159	10540	7632
1160	10548	7623
1161	10557	7613
1162	10568	7605
1163	10576	7596
1164	10586	7587
1165	10593	7577
1166	10602	7567
1167	10610	7558
1168	10620	7549
1169	10628	7539
1170	10637	7530
1171	10646	7521
1172	10656	7513
1173	10666	7504
1174	10674	7494
1175	10684	7486
1176	10693	7477
1177	10703	7468
1178	10712	7459
1179	10722	7451
1180	10730	7441
1181	10739	7432
1182	10747	7422
1183	10758	7414
1184	10768	7405
1185	10777	7397
1186	10788	7389
1187	10797	7380
1188	10807	7371
1189	10817	7363
1190	10827	7354
1191	10837	7346
1192	10847	7337
1193	10854	7327
1194	10864	7318
1195	10874	7310
1196	10884	7301
1197	10892	7291
1198	10901	7282
1199	10910	7273
1200	10919	7264
1201	10928	7255
1202	10938	7247
1203	10949	7238
1204	10960	7231
1205	10969	7221
1206	10979	7213
1207	10988	7204
1208	10996	7194
1209	11006	7186
1210	11018	7179
1211	11029	7170
1212	11037	7161
1213	11046	7151
1214	11054	7142
1215	11063	7133
1216	11074	7125
1217	11084	7116
1218	11092	7106
1219	11103	7098
1220	11111	7089
1221	11122	7081
1222	11132	7072
1223	11141	7063
1224	11151	7054
1225	11160	7045
1226	11169	7036
1227	11180	7028
1228	11189	7019
1229	11198	7010
1230	11208	7002
1231	11219	6994
1232	11229	6985
1233	11238	6976
1234	11249	6968
1235	11258	6959
1236	11267	6950
1237	11276	6940
1238	11286	6931
1239	11294	6922
1240	11308	6916
1241	11317	6907
1242	11327	6898
1243	11335	6889
1244	11343	6879
1245	11353	6870
1246	11364	6862
1247	11374	6853
1248	11383	6844
1249	11392	6835
1250	11401	6826
1251	11410	6817
1252	11421	6809
1253	11430	6800
1254	11440	6791
1255	11449	6782
1256	11460	6774
1257	11469	6765
1258	11479	6756
1259	11488	6747
1260	11498	6738
1261	11507	6729
1262	11517	6720
1263	11527	6712
1264	11537	6703
1265	11546	6694
1266	11556	6685
1267	11565	6676
1268	11575	6667
1269	11584	6658
1270	11593	6649
1271	11603	6641
1272	11613	6632
1273	11624	6624
1274	11634	6615
1275	11644	6606
1276	11653	6597
1277	11663	6589
1278	11672	6579
1279	11681	6571
1280	11691	6562
1281	11702	6554
1282	11712	6545
1283	11721	6536
1284	11729	6526
1285	11739	6517
1286	11748	6508
1287	11757	6499
1288	11766	6490
1289	11776	6481
1290	11785	6472
1291	11794	6463
1292	11803	6453
1293	11813	6445
1294	11822	6436
1295	11832	6427
1296	11841	6418
1297	11852	6410
1298	11861	6401
1299	11872	6392
1300	11882	6384
1301	11892	6375
1302	11901	6366
1303	11912	6358
1304	11921	6349
1305	11930	6340
1306	11940	6331
1307	11950	6322
1308	11960	6313
1309	11969	6304
1310	11979	6295
1311	11988	6286
1312	11997	6277
1313	12007	6268
1314	12017	6260
1315	12027	6251
1316	12035	6241
1317	12045	6232
1318	12054	6223
1319	12063	6214
1320	12073	6205
1321	12083	6197
1322	12093	6188
1323	12102	6179
1324	12112	6170
1325	12121	6161
1326	12130	6152
1327	12140	6143
1328	12149	6134
1329	12158	6125
1330	12168	6116
1331	12178	6107
1332	12187	6098
1333	12196	6089
1334	12208	6081
1335	12218	6072
1336	12227	6063
1337	12235	6053
1338	12244	6044
1339	12254	6035
1340	12264	6027
1341	12273	6017
1342	12285	6010
1343	12295	6001
1344	12304	5992
1345	12314	5983
1346	12324	5974
1347	12333	5965
1348	12342	5956
1349	12351	5946
1350	12361	5938
1351	12371	5929
1352	12382	5921
1353	12392	5912
1354	12401	5903
1355	12411	5894
1356	12420	5885
1357	12430	5876
1358	12440	5867
1359	12450	5859
1360	12461	5850
1361	12471	5842
1362	12481	5833
1363	12490	5824
1364	12500	5815
1365	12509	5806
1366	12518	5797
1367	12529	5788
1368	12538	5779
1369	12548	5770
1370	12558	5761
1371	12566	5752
1372	12576	5743
1373	12586	5734
1374	12595	5725
1375	12604	5715
1376	12614	5707
1377	12623	5698
1378	12634	5689
1379	12643	5680
1380	12653	5671
1381	12660	5661
1382	12670	5652
1383	12679	5643
1384	12687	5633
1385	12697	5624
1386	12707	5616
1387	12716	5606
1388	12725	5597
1389	12734	5588
1390	12745	5580
1391	12754	5571
1392	12763	5561
1393	12773	5552
1394	12782	5543
1395	12793	5535
1396	12802	5526
1397	12814	5517
1398	12824	5509
1399	12835	5500
1400	12845	5492
1401	12854	5482
1402	12864	5474
1403	12873	5464
1404	12882	5455
1405	12892	5446
1406	12902	5437
1407	12911	5428
1408	12920	5419
1409	12929	5410
1410	12940	5401
1411	12950	5393
1412	12959	5383
1413	12969	5374
1414	12979	5366
1415	12989	5357
1416	12999	5348
1417	13009	5339
1418	13019	5330
1419	13026	5320
1420	13036	5311
1421	13046	5303
1422	13055	5293
1423	13065	5284
1424	13074	5275
1425	13084	5266
1426	13093	5257
1427	13103	5248
1428	13112	5239
1429	13123	5231
1430	13130	5221
1431	13141	5212
1432	13151	5203
1433	13162	5195
1434	13172	5186
1435	13182	5177
1436	13191	5168
1437	13200	5158
1438	13209	5149
1439	13220	5141
1440	13229	5131
1441	13239	5123
1442	13247	5113
1443	13258	5105
1444	13267	5095
1445	13278	5087
1446	13287	5078
1447	13297	5069
1448	13306	5059
1449	13315	5050
1450	13325	5041
1451	13334	5032
1452	13343	5023
1453	13352	5014
1454	13362	5005
1455	13372	4996
1456	13381	4987
1457	13390	4977
1458	13399	4968
1459	13409	4959
1460	13419	4950
1461	13428	4941
1462	13437	4932
1463	13446	4923
1464	13456	4914
1465	13466	4905
1466	13474	4895
1467	13483	4886
1468	13492	4877
1469	13501	4867
1470	13511	4858
1471	13518	4849
1472	13529	4840
1473	13537	4830
1474	13548	4822
1475	13560	4814
1476	13569	4804
1477	13577	4795
1478	13587	4786
1479	13598	4778
1480	13610	4769
1481	13619	4760
1482	13628	4751
1483	13638	4742
1484	13648	4733
1485	13658	4724
1486	13668	4715
1487	13678	4706
1488	13687	4697
1489	13696	4688
1490	13705	4678
1491	13714	4669
1492	13724	4660
1493	13735	4652
1494	13744	4642
1495	13753	4633
1496	13762	4624
1497	13772	4615
1498	13783	4606
1499	13792	4597
1500	13802	4588
1501	13810	4579
1502	13820	4569
1503	13829	4560
1504	13839	4551
1505	13850	4543
1506	13859	4534
1507	13869	4524
1508	13880	4516
1509	13889	4507
1510	13898	4498
1511	13908	4488
1512	13917	4479
1513	13926	4470
1514	13937	4461
1515	13946	4452
1516	13955	4443
1517	13963	4433
1518	13975	4425
1519	13985	4416
1520	13994	4407
1521	14005	4398
1522	14014	4389
1523	14022	4379
1524	14030	4370
1525	14040	4361
1526	14049	4351
1527	14060	4343
1528	14070	4334
1529	14080	4325
1530	14090	4316
1531	14100	4307
1532	14109	4298
1533	14118	4288
1534	14127	4279
1535	14136	4270
1536	14146	4261
1537	14156	4252
1538	14165	4243
1539	14174	4234
1540	14185	4225
1541	14194	4216
1542	14204	4206
1543	14213	4197
1544	14222	4188
1545	14231	4179
1546	14242	4170
1547	14252	4161
1548	14263	4153
1549	14272	4143
1550	14280	4134
1551	14291	4125
1552	14301	4116
1553	14315	4108
1554	14324	4099
1555	14333	4090
1556	14343	4080
1557	14352	4071
1558	14361	4062
1559	14371	4053
1560	14380	4044
1561	14390	4035
1562	14401	4026
1563	14411	4017
1564	14421	4008
1565	14430	3999
1566	14441	3990
1567	14449	3980
1568	14459	3971
1569	14468	3962
1570	14477	3953
1571	14486	3944
1572	14496	3935
1573	14505	3925
1574	14514	3916
1575	14524	3907
1576	14533	3898
1577	14543	3889
1578	14552	3880
1579	14561	3870
1580	14571	3861
1581	14581	3852
1582	14592	3843
1583	14601	3834
1584	14610	3825
1585	14619	3816
1586	14630	3807
1587	14639	3798
1588	14649	3789
1589	14659	3780
1590	14668	3770
1591	14677	3761
1592	14687	3752
1593	14697	3743
1594	14707	3734
1595	14716	3725
1596	14727	3716
1597	14737	3707
1598	14747	3698
1599	14755	3688
1600	14765	3679
1601	14776	3671
1602	14785	3661
1603	14793	3652
1604	14802	3642
1605	14811	3633
1606	14820	3624
1607	14830	3615
1608	14839	3606
1609	14848	3596
1610	14859	3588
1611	14869	3578
1612	14878	3569
1613	14888	3560
1614	14897	3551
1615	14905	3541
1616	14914	3532
1617	14922	3523
1618	14933	3514
1619	14943	3505
1620	14954	3496
1621	14964	3487
1622	14975	3478
1623	14984	3469
1624	14993	3459
1625	15003	3451
1626	15012	3441
1627	15022	3432
1628	15031	3423
1629	15041	3414
1630	15051	3405
1631	15060	3395
1632	15069	3386
1633	15078	3377
1634	15088	3368
1635	15098	3359
1636	15107	3350
1637	15116	3340
1638	15127	3331
1639	15137	3322
1640	15147	3313
1641	15157	3304
1642	15166	3295
1643	15176	3286
1644	15185	3277
1645	15194	3267
1646	15203	3258
1647	15213	3249
1648	15222	3240
1649	15231	3230
1650	15241	3221
1651	15250	3212
1652	15259	3203
1653	15268	3194
1654	15277	3184
1655	15287	3175
1656	15298	3166
1657	15308	3157
1658	15319	3148
1659	15327	3139
1660	15337	3130
1661	15349	3121
1662	15357	3112
1663	15367	3102
1664	15376	3093
1665	15385	3084
1666	15395	3075
1667	15405	3066
1668	15415	3057
1669	15424	3048
1670	15434	3038
1671	15444	3029
1672	15454	3020
1673	15464	3011
1674	15473	3002
1675	15483	2993
